log.prior	log.likelihood	log.likelihood.test.set
-8.928799908235520206e+02 0.000000000000000000e+00 -2.887522655920288628e+01
-8.771542043226111218e+02 0.000000000000000000e+00 -2.941537293385329122e+01
-8.966568968812139246e+02 0.000000000000000000e+00 -2.960230820544872188e+01
-8.889566857738216186e+02 0.000000000000000000e+00 -2.969710181916040881e+01
-8.870000176223178414e+02 0.000000000000000000e+00 -3.044495202738278294e+01
-8.669660473088424624e+02 0.000000000000000000e+00 -3.102069415959310561e+01
-8.805398324926928808e+02 0.000000000000000000e+00 -3.013271638191689306e+01
-8.810962706102983475e+02 0.000000000000000000e+00 -3.101239493155330251e+01
-9.063018649477345434e+02 0.000000000000000000e+00 -3.013158114170207114e+01
-9.021415587624170485e+02 0.000000000000000000e+00 -2.961314621666846847e+01
-9.027360138691070688e+02 0.000000000000000000e+00 -3.004454901936334466e+01
-8.988194108416327026e+02 0.000000000000000000e+00 -2.949412320373683372e+01
-8.905413966835960764e+02 0.000000000000000000e+00 -3.004539476975735113e+01
-8.643814819007965298e+02 0.000000000000000000e+00 -3.036114501838470403e+01
-8.784428737665017479e+02 0.000000000000000000e+00 -3.009611234554124337e+01
-8.554862705444952553e+02 0.000000000000000000e+00 -2.879170633327228757e+01
-8.628847860111950467e+02 0.000000000000000000e+00 -3.005586475625540288e+01
-8.699999699816934253e+02 0.000000000000000000e+00 -3.009243404022981849e+01
-8.817197278619908047e+02 0.000000000000000000e+00 -2.999325775772305747e+01
-8.899893150991060793e+02 0.000000000000000000e+00 -2.895840299382543037e+01
-8.909948873650231462e+02 0.000000000000000000e+00 -2.903850153901208841e+01
-8.845776372576043514e+02 0.000000000000000000e+00 -2.876176732853612350e+01
-9.180206438994225664e+02 0.000000000000000000e+00 -2.982986362827793414e+01
-8.967867575893262710e+02 0.000000000000000000e+00 -2.894005466142066041e+01
-8.795344446141644994e+02 0.000000000000000000e+00 -2.920410453031556131e+01
-8.784750643305490030e+02 0.000000000000000000e+00 -3.011872112408840962e+01
-8.697797740504498734e+02 0.000000000000000000e+00 -2.993961309142702021e+01
-8.776688342480720166e+02 0.000000000000000000e+00 -3.057616200642179649e+01
-8.948146576924931423e+02 0.000000000000000000e+00 -3.057240600916669848e+01
-9.030782456971840020e+02 0.000000000000000000e+00 -2.945304894810192309e+01
-9.015682196219404432e+02 0.000000000000000000e+00 -2.950284000726377087e+01
-8.852037961178129990e+02 0.000000000000000000e+00 -3.030133446999832358e+01
-8.996541940150423216e+02 0.000000000000000000e+00 -3.051263033433609451e+01
-9.266371022885525690e+02 0.000000000000000000e+00 -2.996985818963328541e+01
-9.115728576689477904e+02 0.000000000000000000e+00 -3.033654324802135704e+01
-8.974494059411808848e+02 0.000000000000000000e+00 -3.084178138984078998e+01
-8.841495237236443927e+02 0.000000000000000000e+00 -3.066018080724217043e+01
-8.831445033982602126e+02 0.000000000000000000e+00 -3.120940244343726988e+01
-8.759055958366554933e+02 0.000000000000000000e+00 -3.046071839612193344e+01
-8.960578754615272601e+02 0.000000000000000000e+00 -3.024891782745282853e+01
-8.911961015974610518e+02 0.000000000000000000e+00 -3.016344977977043129e+01
-8.926213417557742105e+02 0.000000000000000000e+00 -3.039165918324962945e+01
-8.723038598369327019e+02 0.000000000000000000e+00 -2.978429924938110673e+01
-8.752884527425514989e+02 0.000000000000000000e+00 -3.071374598699352987e+01
-8.659397333346050800e+02 0.000000000000000000e+00 -3.167719204702491709e+01
-8.551390843239173591e+02 0.000000000000000000e+00 -3.313581416863834761e+01
-8.625430493787594060e+02 0.000000000000000000e+00 -3.103203947091414250e+01
-8.738143761911243246e+02 0.000000000000000000e+00 -3.130720573982840449e+01
-8.649634875107522021e+02 0.000000000000000000e+00 -2.995917229500734891e+01
-8.570559850823487977e+02 0.000000000000000000e+00 -3.103024201953263628e+01
-8.488394246459167789e+02 0.000000000000000000e+00 -3.112397510551824098e+01
-8.661471083983631161e+02 0.000000000000000000e+00 -3.228462485301936624e+01
-8.660158701309316029e+02 0.000000000000000000e+00 -3.205914511623818441e+01
-8.632079611169588134e+02 0.000000000000000000e+00 -3.118614484236603346e+01
-8.416523315152296618e+02 0.000000000000000000e+00 -3.036641544656664848e+01
-8.242821702175046994e+02 0.000000000000000000e+00 -3.160559339672735746e+01
